date,close
2020-03-01,33
2020-03-02,38
2020-03-03,45
2020-03-04,55
2020-03-05,67
2020-03-06,81
2020-03-07,100
2020-03-08,112
2020-03-09,172
2020-03-10,179
2020-03-11,202
2020-03-12,252
2020-03-13,320
2020-03-14,381
2020-03-15,478
2020-03-16,588
2020-03-17,732
2020-03-18,893
2020-03-19,1067
2020-03-20,1283
2020-03-21,1544
2020-03-22,1851
2020-03-23,2240
2020-03-24,2644
2020-03-25,3183
2020-03-26,4060
2020-03-27,4915
2020-03-28,5566
2020-03-29,6321
2020-03-30,7421
2020-03-31,8583
2020-04-01,9857
2020-04-02,11190
2020-04-03,12569
2020-04-04,13796
2020-04-05,15202
2020-04-06,16361
2020-04-07,17540
2020-04-08,19043
2020-04-09,20191
2020-04-10,21366
2020-04-11,22421
2020-04-12,23323
2020-04-13,24334
2020-04-14,25758
2020-04-15,27107
2020-04-16,28142
2020-04-17,29398
2020-04-18,30829
2020-04-19,31544
2020-04-20,33862
2020-04-21,35844
2020-04-22,37573
2020-04-23,39534
2020-04-24,41368
2020-04-25,42590
2020-04-26,43691
2020-04-27,45208
2020-04-28,46570
2020-04-29,48904
2020-04-30,50470
2020-05-01,52318
2020-05-02,53753
2020-05-03,55072
2020-05-04,56333
2020-05-05,58848
2020-05-06,60787
2020-05-07,62481
2020-05-08,64616
2020-05-09,66824
2020-05-10,68051
2020-05-11,69514
2020-05-12,71150
2020-05-13,73218
2020-05-14,74947
2020-05-15,77015
2020-05-16,78933
2020-05-17,80366
2020-05-18,81943
2020-05-19,83981
2020-05-20,86125
2020-05-21,88488
2020-05-22,90801
2020-05-23,92815
2020-05-24,94743
2020-05-25,97017
2020-05-26,99924
2020-05-27,101873
2020-05-28,104071
2020-05-29,107043
2020-05-30,110100
2020-05-31,113114
2020-06-01,115643
2020-06-02,118081
2020-06-03,120407
2020-06-04,122917
2020-06-05,126510
2020-06-06,129147
2020-06-07,131997
2020-06-08,134287
2020-06-09,137245
2020-06-10,140139
2020-06-11,143709
2020-06-12,147285
2020-06-13,150434
2020-06-14,152953
2020-06-15,155662
2020-06-16,159131
2020-06-17,163381
2020-06-18,167135
2020-06-19,170843
2020-06-20,174854
2020-06-21,178807
2020-06-22,184620
2020-06-23,191039
2020-06-24,195889
2020-06-25,201413
2020-06-26,207027
2020-06-27,211453
2020-06-28,216955
2020-06-29,223995
2020-06-30,232153
2020-07-01,239764
2020-07-02,248198
2020-07-03,256298
2020-07-04,265176
2020-07-05,271587
2020-07-06,277869
2020-07-07,287766
2020-07-08,296304
2020-07-09,303516
2020-07-10,311505
2020-07-11,320030
2020-07-12,327676
2020-07-13,336206
2020-07-14,346593
2020-07-15,355497
2020-07-16,364761
2020-07-17,374922
2020-07-18,383194
2020-07-19,391460
2020-07-20,400195
2020-07-21,410366
2020-07-22,422528
2020-07-23,433175
2020-07-24,443096
2020-07-25,453327
2020-07-26,459338
2020-07-27,467103
2020-07-28,474951
2020-07-29,486039
2020-07-30,494269
2020-07-31,502273
2020-08-01,509507
2020-08-02,515937
2020-08-03,522235
2020-08-04,527258
2020-08-05,532776
2020-08-06,541013
2020-08-07,548142
2020-08-08,556158
2020-08-09,563244
2020-08-10,574267
2020-08-11,586078
2020-08-12,595097
2020-08-13,603212
2020-08-14,613243
2020-08-15,621981
2020-08-16,628508
2020-08-17,634991
2020-08-18,640499
2020-08-19,646742
2020-08-20,653401
2020-08-21,659991
2020-08-22,665325
2020-08-23,669944
2020-08-24,676236
2020-08-25,682320
2020-08-26,687612
2020-08-27,692964
2020-08-28,698391
2020-08-29,702500
2020-08-30,706589
2020-08-31,712543
2020-09-01,716630
2020-09-02,722037
2020-09-03,727403
2020-09-04,732693
